GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,OREB_home,OREB_away,spread,PTS_total,OREB_total
2023-03-25,22201112,Final,1610612746,1610612740,2022,1610612746,110.0,0.52,0.81,0.455,29.0,31.0,1610612740,131.0,0.531,0.889,0.618,36.0,45.0,0,2.0,12.0,-21.0,241.0,14.0
2023-03-24,22201097,Final,1610612738,1610612754,2022,1610612738,120.0,0.473,0.737,0.429,28.0,49.0,1610612754,95.0,0.464,0.591,0.154,24.0,44.0,1,9.0,6.0,25.0,215.0,15.0
2023-03-24,22201098,Final,1610612764,1610612759,2022,1610612764,136.0,0.6,0.731,0.5,29.0,43.0,1610612759,124.0,0.505,0.6,0.342,35.0,41.0,1,6.0,11.0,12.0,260.0,17.0
2023-03-24,22201099,Final,1610612761,1610612765,2022,1610612761,118.0,0.446,0.793,0.351,25.0,46.0,1610612765,97.0,0.466,0.767,0.24,23.0,39.0,1,15.0,8.0,21.0,215.0,23.0
2023-03-24,22201100,Final,1610612763,1610612745,2022,1610612763,151.0,0.613,0.857,0.595,36.0,35.0,1610612745,114.0,0.54,0.619,0.304,25.0,38.0,1,5.0,10.0,37.0,265.0,15.0
2023-03-24,22201101,Final,1610612742,1610612766,2022,1610612742,109.0,0.488,0.75,0.25,25.0,45.0,1610612766,117.0,0.483,0.741,0.393,32.0,43.0,0,7.0,6.0,-8.0,226.0,13.0
2023-03-24,22201102,Final,1610612762,1610612749,2022,1610612762,116.0,0.385,0.735,0.275,28.0,51.0,1610612749,144.0,0.556,0.75,0.44,42.0,50.0,0,20.0,9.0,-28.0,260.0,29.0
2023-03-24,22201103,Final,1610612744,1610612755,2022,1610612744,120.0,0.477,0.75,0.36,27.0,49.0,1610612755,112.0,0.487,0.824,0.276,23.0,38.0,1,10.0,4.0,8.0,232.0,14.0
2023-03-24,22201104,Final,1610612757,1610612741,2022,1610612757,96.0,0.43,0.889,0.194,23.0,31.0,1610612741,124.0,0.571,0.786,0.607,33.0,47.0,0,8.0,11.0,-28.0,220.0,19.0
2023-03-24,22201105,Final,1610612758,1610612756,2022,1610612758,135.0,0.528,0.875,0.333,29.0,33.0,1610612756,127.0,0.539,0.759,0.31,33.0,43.0,1,5.0,12.0,8.0,262.0,17.0
